iter	Passed	Remaining
662	963	489
663	965	488
664	966	487
665	967	485
666	968	483
667	969	481
668	970	480
669	971	478
670	973	477
671	974	475
672	975	473
673	977	472
674	978	471
675	980	469
676	981	468
677	982	466
678	983	464
679	984	463
680	985	461
681	986	459
682	987	458
683	988	456
684	990	455
685	991	453
686	992	452
687	993	450
688	994	448
689	995	447
690	996	445
691	998	444
692	999	442
693	1001	441
694	1002	439
695	1004	438
696	1006	437
697	1007	435
698	1008	434
699	1010	432
700	1011	431
701	1012	429
702	1013	428
703	1014	426
704	1015	425
705	1016	423
706	1017	421
707	1019	420
708	1020	418
709	1021	417
710	1022	415
711	1023	413
712	1024	412
713	1025	410
714	1026	409
715	1027	407
716	1029	406
717	1030	404
718	1031	403
719	1032	401
720	1033	399
721	1034	398
722	1035	396
723	1037	395
724	1038	393
725	1039	392
726	1041	391
727	1042	389
728	1044	388
729	1045	386
730	1046	385
731	1048	383
732	1049	382
733	1050	380
734	1051	379
735	1052	377
736	1054	376
737	1055	374
738	1056	373
739	1057	371
740	1058	369
741	1059	368
742	1060	366
743	1061	365
744	1063	364
745	1064	362
746	1066	361
747	1068	359
748	1070	358
749	1071	357
750	1073	355
751	1074	354
752	1075	352
753	1077	351
754	1079	350
755	1080	348
756	1082	347
757	1083	346
758	1085	344
759	1086	343
760	1087	341
761	1088	340
762	1090	338
763	1091	337
764	1092	335
765	1094	334
766	1095	332
767	1096	331
768	1098	329
769	1099	328
770	1100	326
771	1101	325
772	1102	323
773	1104	322
774	1105	320
775	1106	319
776	1109	318
777	1111	317
778	1112	315
779	1114	314
780	1115	312
781	1116	311
782	1117	309
783	1119	308
784	1120	306
785	1122	305
786	1124	304
787	1125	302
788	1126	301
789	1127	299
790	1129	298
791	1130	296
792	1131	295
793	1132	293
794	1134	292
795	1135	290
796	1137	289
797	1139	288
798	1140	287
799	1142	285
800	1144	284
801	1145	282
802	1146	281
803	1147	279
804	1149	278
805	1150	276
806	1151	275
807	1153	274
808	1155	272
809	1156	271
810	1157	269
811	1158	268
812	1159	266
813	1160	265
814	1161	263
815	1163	262
816	1164	260
817	1165	259
818	1166	257
819	1167	256
820	1169	254
821	1170	253
822	1171	251
823	1172	250
824	1173	248
825	1174	247
826	1176	246
827	1177	244
828	1179	243
829	1180	241
830	1182	240
831	1183	239
832	1184	237
833	1186	236
834	1187	234
835	1188	233
836	1189	231
837	1190	230
838	1192	228
839	1193	227
840	1194	225
841	1196	224
842	1197	223
843	1198	221
844	1200	220
845	1201	218
846	1202	217
847	1203	215
848	1205	214
849	1206	212
850	1207	211
851	1208	209
852	1209	208
853	1210	207
854	1212	205
855	1213	204
856	1214	202
857	1215	201
858	1216	199
859	1217	198
860	1218	196
861	1219	195
862	1220	193
